        i,            C⁻¹[i][1] (1/F),            C⁻¹[i][2] (1/F),            C⁻¹[i][3] (1/F),            C⁻¹[i][4] (1/F),            C⁻¹[i][5] (1/F),            C⁻¹[i][6] (1/F)
 1.00e+00,        +2.065819895047e+12,        +1.379312594340e+12,        +9.677888309735e+11,        +7.157580039699e+11,        +5.475102500867e+11,        +4.549932254112e+11
 2.00e+00,        +1.379312594340e+12,        +1.482984168364e+12,        +1.022935732468e+12,        +7.479464882979e+11,        +5.671507369542e+11,        +4.679505099404e+11
 3.00e+00,        +9.677888309735e+11,        +1.022935732468e+12,        +1.290005817625e+12,        +9.223517424748e+11,        +6.891732460413e+11,        +5.622448744081e+11
 4.00e+00,        +7.157580039699e+11,        +7.479464882979e+11,        +9.223517424748e+11,        +1.263373605811e+12,        +9.229913450330e+11,        +7.419223427851e+11
 5.00e+00,        +5.475102500867e+11,        +5.671507369542e+11,        +6.891732460413e+11,        +9.229913450330e+11,        +1.286108136747e+12,        +1.011425078603e+12
 6.00e+00,        +4.549932254112e+11,        +4.679505099404e+11,        +5.622448744081e+11,        +7.419223427851e+11,        +1.011425078603e+12,        +1.516866858758e+12
