        i,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.00e+00,        +8.120810673368e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 2.00e+00,        +1.277761766186e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 3.00e+00,        +1.271645324440e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 4.00e+00,        +1.271724319394e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.00e+00,        +1.277287056217e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.00e+00,        +8.130720787499e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
