        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F),                C[i][4] (F),                C[i][5] (F),                C[i][6] (F)
 1.00e+00,        +4.311206390491e-13,        -3.147017905210e-13,        -2.144765365842e-14,        -9.204563275591e-15,        -5.201082489479e-15,        -5.643368372100e-15
 2.00e+00,        -3.147017905210e-13,        +6.783429528743e-13,        -3.024292419008e-13,        -1.553447593444e-14,        -6.231289397300e-15,        -5.171712665117e-15
 3.00e+00,        -2.144765365842e-14,        -3.024292419008e-13,        +6.750958333685e-13,        -3.023448086988e-13,        -1.553866096202e-14,        -9.164456116763e-15
 4.00e+00,        -9.204563275591e-15,        -1.553447593444e-14,        -3.023448086988e-13,        +6.751377705055e-13,        -3.024825930351e-13,        -2.137520855073e-14
 5.00e+00,        -5.201082489479e-15,        -6.231289397300e-15,        -1.553866096202e-14,        -3.024825930351e-13,        +6.780909370679e-13,        -3.144727019007e-13
 6.00e+00,        -5.643368372100e-15,        -5.171712665117e-15,        -9.164456116763e-15,        -2.137520855073e-14,        -3.144727019007e-13,        +4.316467509004e-13
